Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Sanitiser Spray Bottles - 100ml,R           49.45,900,"R                         44,505.00",None
NPA Head Office - AFF,3/25/2020,REBOSIS PROPERTY FUND,Hand Sanitisers,R         177.10,5,R                               885.50,None
NPA Head Office - AFF,3/26/2020,REBOSIS PROPERTY FUND,Sanitiser Sachets (100X2ml),R         431.25,37,"R                          15,956.25",None
NPA Head Office - AFF,4/1/2020,REBOSIS PROPERTY FUND,Surface Disinfectant,R           34.50,500,"R                         17,250.00",None
NPA Head Office - AFF,4/1/2020,REBOSIS PROPERTY FUND,Knapsack Sprayer Batery,"R      2,760.00",2,"R                            5,520.00",None
NPA Head Office - AFF,5/1/2020,REBOSIS PROPERTY FUND,3 Ply Face Masks,R           40.25,600,"R                         24,150.00",None
NPA Head Office - AFF,5/7/2020,REBOSIS PROPERTY FUND,Hand Sanitizer Station without bottle,R         782.00,10,"R                            7,820.00",None
NPA Head Office - AFU,3/23/2020,Crystal Medical Supplies,Hand Sanitizer,R           30.00,25,R                               750.00,None
NPA Head Office - AFU,3/23/2020,Crystal Medical Supplies,Liquid Soap,R           60.00,20,"R                            1,200.00",None
NPA Head Office - SOCA,5/19/2020,ARISING VISONARIES,HAND SANITIZERS x 220,,,"R                         23,100.00",None
NPA Head Office (HR),5/7/2020,BAITSEKAGO PROJECTS,DIGITAL INFRARED NON-CONTACT THERMOMETER,,,"R                         76,500.00",None
NPA Head Office (HR),5/19/2020,EKHAYA INVESTMENTS,RE-USABLE FACE MASKS - GAUTENG - VGM,,,"R                         62,748.00",None
NPA Head Office (HR),5/25/2020,SINGULARITY TRADING COMPANY,SANITIZERS x 709 - VGM,,,"R                       201,356.00",None
OWP Eastern Cape,3/18/2020,DIS-CHEM PHAMARCY,Latex Gloves,R 3.50,24,R                                 84.00,None
OWP Eastern Cape,3/18/2020,DIS-CHEM PHAMARCY,Surgical Spirit,R 17.95,4,R                                 71.80,None
OWP Eastern Cape,3/18/2020,DIS-CHEM PHAMARCY,Wet Wipes,R 34.95,2 packs,R                                 69.90,None
OWP Eastern Cape,3/19/2020,DASH DISTRIBUTORS,Hand Saniters,R 370.00,20 x5L,"R                           7,400.00",None
OWP Eastern Cape,4/16/2020,M F EMBROIDERY,Material Face Masks,R 22.00,62,"R                           1,364.00",None
OWP Eastern Cape,4/29/2020,M F EMBROIDERY,Material Face Masks,R 22.00,85,"R                            1,870.00",None
OWP Free State,4/2/2020,Dischem,EP004 Disposable Masks,R           50.00,60,"R                            2,997.00",None
